,weight,industry,er,code,trade_date
156,0.02786379119043463,计算机,0.005443990230560303,002405.SZ,2019-12-18
481,0.02684072233488837,电子,0.05385535955429077,603501.SH,2019-12-18
239,0.026329120181965465,计算机,0.010616511106491089,300253.SZ,2019-12-18
246,0.025003317772095437,传媒,0.03336039185523987,300315.SZ,2019-12-18
301,0.02500331777209535,农林牧渔,0.008112400770187378,600298.SH,2019-12-18
390,0.02498243817478603,建筑材料,0.013587087392807007,600801.SH,2019-12-18
226,0.024909202181644614,电子,0.03248530626296997,300088.SZ,2019-12-18
79,0.02483628099365793,有色金属,0.011624425649642944,000975.SZ,2019-12-18
146,0.02482578420802062,电子,0.02567845582962036,002371.SZ,2019-12-18
387,0.024679505108557608,食品饮料,-0.006339013576507568,600779.SH,2019-12-18
366,0.02455435167482729,医药生物,0.005695909261703491,600673.SH,2019-12-18
127,0.023740067165668875,化工,0.012925297021865845,002250.SZ,2019-12-18
197,0.023656556905225452,机械设备,0.021940112113952637,002690.SZ,2019-12-18
205,0.023635704148653302,化工,0.0261080265045166,002812.SZ,2019-12-18
328,0.023604326299371287,房地产,0.008163809776306152,600466.SH,2019-12-18
295,0.023343324670695602,房地产,0.0054021477699279785,600266.SH,2019-12-18
105,0.023165810350584633,钢铁,0.005378842353820801,002110.SZ,2019-12-18
349,0.02308205890595683,电气设备,0.006926625967025757,600580.SH,2019-12-18
139,0.023051059291252562,医药生物,0.0018855631351470947,002332.SZ,2019-12-18
496,0.0230406356254755,医药生物,0.014081597328186035,603883.SH,2019-12-18
221,0.022873598847040495,计算机,0.03529423475265503,300010.SZ,2019-12-18
492,0.022800385437240236,轻工制造,0.00750240683555603,603816.SH,2019-12-18
155,0.022664802873995554,医药生物,0.01610240340232849,002399.SZ,2019-12-18
279,0.022654363075339915,非银金融,0.010887324810028076,600155.SH,2019-12-18
245,0.02261222187643745,通信,0.005909830331802368,300308.SZ,2019-12-18
358,0.022497766095559885,传媒,0.044831156730651855,600640.SH,2019-12-18
402,0.022361922064410435,国防军工,0.006654977798461914,600862.SH,2019-12-18
196,0.021996655760252882,电子,0.0499688982963562,002681.SZ,2019-12-18
485,0.021986177273499847,公用事业,-0.0013509392738342285,603568.SH,2019-12-18
456,0.021401587237074946,汽车,0.006783246994018555,601777.SH,2019-12-18
298,0.021318001783320974,商业贸易,-0.0006067156791687012,600280.SH,2019-12-18
486,0.021098833076160377,交通运输,0.004135221242904663,603569.SH,2019-12-18
323,0.021067501406050904,化工,0.016187578439712524,600426.SH,2019-12-18
435,0.020888990170375675,机械设备,0.01017734408378601,601100.SH,2019-12-18
351,0.020781750252205935,电子,0.025120437145233154,600584.SH,2019-12-18
69,0.02057675456414102,有色金属,0.01289108395576477,000878.SZ,2019-12-18
114,0.017163020128988363,传媒,0.027619510889053345,002174.SZ,2019-12-18
452,0.014772315092901918,汽车,0.025251299142837524,601689.SH,2019-12-18
422,0.013310001426556443,采掘,-0.006727039813995361,600971.SH,2019-12-18
124,0.01287219495259399,家用电器,0.004893094301223755,002242.SZ,2019-12-18
383,0.01284735465003394,医药生物,0.0075480639934539795,600763.SH,2019-12-18
193,0.012162653647784051,电气设备,-0.0030989646911621094,002665.SZ,2019-12-18
292,0.011963992753581044,休闲服务,0.018874824047088623,600258.SH,2019-12-18
66,0.0107111509200545,食品饮料,0.0014373958110809326,000860.SZ,2019-12-18
149,0.009938537573583933,建筑装饰,0.0033139586448669434,002375.SZ,2019-12-18
160,0.009844797193590974,商业贸易,0.031016141176223755,002416.SZ,2019-12-18
109,0.009718910939068124,电气设备,0.00273856520652771,002129.SZ,2019-12-18
194,0.009103477334652423,非银金融,0.0030524134635925293,002670.SZ,2019-12-18
414,0.008704987607596965,公用事业,0.011236131191253662,600903.SH,2019-12-18
233,0.007157919030049376,计算机,0.014995098114013672,300168.SZ,2019-12-18
