证券代码,持仓权重,交易价格,成分日期
300383.SZ,0.025401816827199285,0,2020-02-19
002371.SZ,0.02538153616881195,0,2020-02-19
002065.SZ,0.024844092343011794,0,2020-02-19
002340.SZ,0.024387769968149328,0,2020-02-19
300014.SZ,0.023921310979108056,0,2020-02-19
300529.SZ,0.023840186406668136,0,2020-02-19
600699.SH,0.023586677118475265,0,2020-02-19
000998.SZ,0.02348527114996502,0,2020-02-19
600143.SH,0.023383867706363092,0,2020-02-19
002129.SZ,0.023323024424930644,0,2020-02-19
601231.SH,0.023252041243348714,0,2020-02-19
002174.SZ,0.023211480117319255,0,2020-02-19
002074.SZ,0.02301881196033011,0,2020-02-19
000547.SZ,0.02299853122563449,0,2020-02-19
600845.SH,0.02290726736130491,0,2020-02-19
600884.SH,0.022795722456048453,0,2020-02-19
000089.SZ,0.02265375294965251,0,2020-02-19
300010.SZ,0.022400244783231046,0,2020-02-19
603707.SH,0.02239010425861985,0,2020-02-19
002317.SZ,0.022237997195931843,0,2020-02-19
002414.SZ,0.02213659347044207,0,2020-02-19
600515.SH,0.021933784205596822,0,2020-02-19
600120.SH,0.021923642395095352,0,2020-02-19
000758.SZ,0.021710694435383964,0,2020-02-19
002444.SZ,0.021619432928328488,0,2020-02-19
002709.SZ,0.021619430727889365,0,2020-02-19
600126.SH,0.021457183118802903,0,2020-02-19
300459.SZ,0.021345638544238058,0,2020-02-19
603568.SH,0.021305076089186723,0,2020-02-19
600132.SH,0.021163110536745747,0,2020-02-19
603486.SH,0.021092122959942047,0,2020-02-19
002437.SZ,0.02107184664753945,0,2020-02-19
603256.SH,0.020615526095149248,0,2020-02-19
600409.SH,0.019854985349322823,0,2020-02-19
002821.SZ,0.019418951961915322,0,2020-02-19
000501.SZ,0.019266845565174568,0,2020-02-19
000967.SZ,0.018891648312951786,0,2020-02-19
002926.SZ,0.017857324206246708,0,2020-02-19
300012.SZ,0.0168737015733465,0,2020-02-19
603444.SH,0.016397087509204607,0,2020-02-19
002212.SZ,0.014926734262254734,0,2020-02-19
000537.SZ,0.014774625088738181,0,2020-02-19
000401.SZ,0.014713786896396155,0,2020-02-19
002831.SZ,0.01461238201240791,0,2020-02-19
002048.SZ,0.012716117851848468,0,2020-02-19
600060.SH,0.01233078052453834,0,2020-02-19
600787.SH,0.012188807688863641,0,2020-02-19
600985.SH,0.009765247890334243,0,2020-02-19
601128.SH,0.009430614404038107,0,2020-02-19
600039.SH,0.007564770103973978,0,2020-02-19
