证券代码,持仓权重,交易价格,成分日期
300383.SZ,0.025744547673742728,0,2020-02-11
002371.SZ,0.025723993144660656,0,2020-02-11
002340.SZ,0.02536706815466449,0,2020-02-11
300088.SZ,0.02510735727223474,0,2020-02-11
600739.SH,0.02502513915591035,0,2020-02-11
002821.SZ,0.02486070292325503,0,2020-02-11
002129.SZ,0.024711583853548217,0,2020-02-11
600699.SH,0.023904917321002594,0,2020-02-11
002507.SZ,0.02377471434900501,0,2020-02-11
000547.SZ,0.023308835977654728,0,2020-02-11
600845.SH,0.023216340596799837,0,2020-02-11
600884.SH,0.023103290686856858,0,2020-02-11
600808.SH,0.022753863692480655,0,2020-02-11
300244.SZ,0.022527763872590697,0,2020-02-11
002414.SZ,0.022435268491728482,0,2020-02-11
600409.SH,0.022424991227183253,0,2020-02-11
000930.SZ,0.02231194131723908,0,2020-02-11
002074.SZ,0.022255515096190153,0,2020-02-11
002589.SZ,0.022192229271293197,0,2020-02-11
000826.SZ,0.022126950555513277,0,2020-02-11
300324.SZ,0.021962514322870517,0,2020-02-11
002444.SZ,0.021941959793790412,0,2020-02-11
002709.SZ,0.02191112800016136,0,2020-02-11
300182.SZ,0.02181120134358052,0,2020-02-11
600565.SH,0.021808355354761676,0,2020-02-11
300459.SZ,0.021633641857575384,0,2020-02-11
000758.SZ,0.021353376446096993,0,2020-02-11
603056.SH,0.02132532392136179,0,2020-02-11
601099.SH,0.020326064849246664,0,2020-02-11
300010.SZ,0.02011821768915296,0,2020-02-11
002127.SZ,0.020040511224027547,0,2020-02-11
600155.SH,0.019991643942790672,0,2020-02-11
002004.SZ,0.01990339193671408,0,2020-02-11
002812.SZ,0.018935928182736733,0,2020-02-11
300253.SZ,0.018827532913135953,0,2020-02-11
000967.SZ,0.018612126082705332,0,2020-02-11
300315.SZ,0.01833179395126284,0,2020-02-11
600039.SH,0.017944103887569573,0,2020-02-11
300012.SZ,0.017101368195258093,0,2020-02-11
600751.SH,0.016011313704266218,0,2020-02-11
600823.SH,0.015237636452235803,0,2020-02-11
002831.SZ,0.015199145617824126,0,2020-02-11
600881.SH,0.014912310848129488,0,2020-02-11
600317.SH,0.013987357039464972,0,2020-02-11
002048.SZ,0.012887689733734156,0,2020-02-11
600060.SH,0.012497153681150985,0,2020-02-11
600879.SH,0.011695527047019904,0,2020-02-11
603486.SH,0.011359805572819811,0,2020-02-11
600777.SH,0.009897005752412705,0,2020-02-11
601128.SH,0.009557856022588821,0,2020-02-11
